"id";"submitdate";"lastpage";"startlanguage";"seed";"startdate";"datestamp";"ipaddr";"refurl";"ID";"Messageintro";"TimeB";"Gender";"Age";"Income";"State";"Agglo";"Freqtalk";"CauseCC";"GazCC[SQ001]";"GazCC[SQ002]";"GazCC[SQ003]";"GazCC[SQ004]";"GazCC[SQ006]";"GazCC[SQ005]";"EffectsCC";"RegionCC";"GenerationCC[SQ001]";"GenerationCC[SQ002]";"GenerationCC[SQ003]";"GenerationCC[SQ004]";"GenerationCC[SQ005]";"VisioncoopCC";"Orderpcp";"CBDR";"Gdfr";"Principles[SQ001]";"Principles[SQ002]";"Principles[SQ003]";"Principles[SQ004]";"Principles[SQ005]";"RkPriciple[SQ001]";"RkPriciple[SQ002]";"RkPriciple[SQ003]";"RkPriciple[SQ004]";"RkPriciple[SQ005]";"Statements[SQ001]";"Statements[SQ002]";"Statements[SQ003]";"Statements[SQ004]";"Accountability";"History";"Ordrecas";"Randomnumber";"Test[SQ001]";"Test[SQ002]";"Test[SQ003]";"Test[SQ004]";"Case1[SQ001]";"Case1[SQ002]";"Case2[SQ001]";"Case2[SQ002]";"Case3[SQ001]";"Case3[SQ002]";"Case4[SQ001]";"Case4[SQ002]";"Case5[SQ001]";"Case5[SQ002]";"Case6[SQ001]";"Case6[SQ002]";"Coordination[SQ001]";"Coordination[SQ002]";"Coordination[SQ003]";"Coordination[SQ004]";"Reward[SQ001]";"Reward[SQ002]";"Chances";"Info";"Infono";"Educ";"CSP";"Comments";"TimeE";"Speedster";"Surveytime";"interviewtime";"groupTime12";"IDTime";"MessageintroTime";"TimeBTime";"GenderTime";"AgeTime";"IncomeTime";"StateTime";"AggloTime";"groupTime8";"FreqtalkTime";"CauseCCTime";"GazCCTime";"EffectsCCTime";"RegionCCTime";"GenerationCCTime";"VisioncoopCCTime";"groupTime9";"OrderpcpTime";"CBDRTime";"GdfrTime";"PrinciplesTime";"RkPricipleTime";"StatementsTime";"AccountabilityTime";"HistoryTime";"groupTime10";"OrdrecasTime";"RandomnumberTime";"TestTime";"Case1Time";"Case2Time";"Case3Time";"Case4Time";"Case5Time";"Case6Time";"groupTime13";"CoordinationTime";"RewardTime";"ChancesTime";"InfoTime";"InfonoTime";"groupTime14";"EducTime";"CSPTime";"CommentsTime";"TimeETime";"SpeedsterTime";"SurveytimeTime"
"483";"2020-07-17 17:49:43";"43";"fr";"2004306998";"2020-07-17 17:24:28";"2020-07-17 17:49:43";"88.127.217.5";"https://s.cint.com/Survey/Fingerprint/7e265b9d-b409-6e74-32bc-6c0de77f8058";"7e265b9d-b409-6e74-32bc-6c0de77f8058";"";"1594999542";"Une femme";"Plus de 65 ans";"De 20 001 à 35 000 euros";"38";"Moins de 2 000 habitants";"Plusieurs fois par semaine";"est principalement dû aux activités humaines";"Oui";"Oui";"Non";"Non";"Oui";"Oui";"Désastreux";"Similaires dans les deux régions";"Oui";"Oui";"Oui";"Oui";"Non";"Les principes de justice climatique devraient être déterminés au niveau international, même si cela peut empêcher les pays de défendre les intérêts de leurs populations";"4";"Les pays ont des responsabilités communes mais différenciées. Mais s'il fallait choisir l'un ou l'autre, je considèrerais qu'ils ont plutôt des responsabilités communes, c'est à dire que tous les pays, sans exception, devraient agir pour lutter contre le changement climatique.";"Pas du tout d'accord";"Pas du tout d'accord";"Tout à fait d'accord";"Tout à fait d'accord";"Pas du tout d'accord";"Pas du tout d'accord";"Non";"Oui";"Oui";"Non";"Non";"Pas du tout d'accord";"Pas du tout d'accord";"Pas du tout d'accord";"Pas du tout d'accord";"Les pays devraient être tenus responsables des émissions de carbone associées à tous les produits qu’ils consomment, y compris les émissions ayant lieu à l’étranger des produits qu’ils consomment";"Les pays devraient être tenus responsables de leurs émissions passées depuis 1990 (année à partir de laquelle il était scientifiquement établi que le changement climatique est réel et causé par les activités humaines)";"3";"2";"Faux";"Vrai";"Vrai";"Vrai";"Tout à fait d'accord";"Plutôt pas d'accord";"Plutôt pas d'accord";"Tout à fait d'accord";"Plutôt pas d'accord";"Plutôt d'accord";"Tout à fait d'accord";"Plutôt pas d'accord";"Plutôt d'accord";"Tout à fait d'accord";"Tout à fait d'accord";"Tout à fait d'accord";"Tout à fait d'accord";"Tout à fait d'accord";"Tout à fait d'accord";"Tout à fait d'accord";"Plutôt d'accord";"Plutôt d'accord";"entre 1 et 10%";"Oui";"";"CAP, BEP ou équivalent";"Employé (bureau, commerces, services, santé...)";" je p ense que tout les pays devraient s engager contre le changement climatique mais que pour certains pays, cela va etre tres dur";"1595000983";"Non";"N";"1532.42";"";"";"74.08";"";"14.9";"9.52";"12.38";"14.33";"11.49";"";"9.29";"12.48";"22.51";"14.73";"17.87";"28.85";"48.99";"";"";"43.97";"17.94";"40.66";"219.69";"32";"17.49";"16.76";"";"";"";"163.56";"66.78";"53.69";"46.52";"75.57";"71.93";"88.89";"";"52.98";"36.86";"20.24";"14.11";"";"";"19.76";"21.04";"120.56";"";"";""
"484";"2020-07-17 17:45:16";"43";"fr";"1267364526";"2020-07-17 17:26:18";"2020-07-17 17:45:16";"78.244.174.216";"https://s.cint.com/Survey/Fingerprint/e07d706b-fb83-4637-694a-47564ec9cca6";"e07d706b-fb83-4637-694a-47564ec9cca6";"";"1594999585";"Un homme";"Plus de 65 ans";"De 20 001 à 35 000 euros";"30";"De 2 000 à 19 999 habitants";"Presque jamais";"est principalement dû à la variabilité climatique naturelle";"Oui";"Non";"Non";"Non";"Non";"Non";"Faibles";"Similaires dans les deux régions";"Non";"Non";"Non";"Non";"Oui";"Les principes de justice climatique ne devraient jamais passer avant les intérêts nationaux, même si cela peut entraver l’action contre le changement climatique";"3";"Les pays ont des responsabilités communes mais différenciées. Mais s'il fallait choisir l'un ou l'autre, je considèrerais qu'ils ont plutôt des responsabilités différenciées, c'est à dire que certains pays doivent faire nettement plus d'efforts que d'autres pour lutter contre le changement climatique.";"Pas du tout d'accord";"Plutôt pas d'accord";"Tout à fait d'accord";"Plutôt d'accord";"Pas du tout d'accord";"Plutôt pas d'accord";"Oui";"Oui";"Non";"Non";"Non";"Plutôt pas d'accord";"Plutôt pas d'accord";"Pas du tout d'accord";"Plutôt pas d'accord";"Les pays devraient être tenus responsables uniquement des émissions de carbone ayant lieu sur leur territoire";"Les pays doivent être tenus responsables de leurs émissions passées depuis 1850 (année à partir de laquelle les sociétés ont commencé à émettre de grandes quantités de carbone dans l’atmosphère)";"4";"2";"Faux";"Vrai";"Faux";"Vrai";"Tout à fait d'accord";"Plutôt pas d'accord";"Plutôt pas d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Plutôt d'accord";"Plutôt d'accord";"Tout à fait d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Pas du tout d'accord";"Plutôt d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Plutôt d'accord";"Plutôt d'accord";"entre 11 et 49%";"Je ne sais pas";"";"CAP, BEP ou équivalent";"Retraité";"ras";"1595000716";"Non";"N";"1154.8";"";"";"7.48";"";"6.14";"5.22";"8.76";"13.79";"7.33";"";"9.31";"11.7";"19.36";"12.52";"16.92";"23.27";"22.35";"";"";"25.41";"23.94";"73.88";"36.92";"47";"19.63";"25.5";"";"";"";"157.03";"53.37";"57.63";"88.24";"80.85";"42.04";"44.19";"";"91.32";"65.96";"16.37";"12.47";"";"";"8.16";"7.76";"12.98";"";"";""
"485";"2020-07-17 17:36:18";"43";"fr";"640782767";"2020-07-17 17:26:27";"2020-07-17 17:36:18";"88.124.89.72";"https://s.cint.com/Survey/Fingerprint/23a2dde9-ddab-ee53-b6c8-ea89e59b6913";"23a2dde9-ddab-ee53-b6c8-ea89e59b6913";"";"1594999591";"Une femme";"25-34 ans";"De 50 001 à 75 000 euros";"91";"De 20 000 à 99 999 habitants";"Plusieurs fois par mois";"est principalement dû aux activités humaines";"Oui";"Oui";"Non";"Non";"Oui";"Non";"Désastreux";"Les Etats-Unis";"Non";"Non";"Oui";"Oui";"Non";"Les principes de justice climatique devraient être déterminés au niveau international, même si cela peut empêcher les pays de défendre les intérêts de leurs populations";"4";"Les pays ont des responsabilités communes mais différenciées. Mais s'il fallait choisir l'un ou l'autre, je considèrerais qu'ils ont plutôt des responsabilités communes, c'est à dire que tous les pays, sans exception, devraient agir pour lutter contre le changement climatique.";"Plutôt pas d'accord";"Plutôt d'accord";"Tout à fait d'accord";"Tout à fait d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Non";"Oui";"Oui";"Non";"Non";"Plutôt d'accord";"Plutôt d'accord";"Plutôt d'accord";"Plutôt d'accord";"Les pays devraient être tenus responsables des émissions de carbone associées à tous les produits qu’ils consomment, y compris les émissions ayant lieu à l’étranger des produits qu’ils consomment";"Les pays devraient être tenus responsables de leurs émissions passées depuis 1990 (année à partir de laquelle il était scientifiquement établi que le changement climatique est réel et causé par les activités humaines)";"3";"2";"Faux";"Vrai";"Vrai";"Vrai";"Plutôt pas d'accord";"Plutôt d'accord";"Plutôt d'accord";"Tout à fait d'accord";"Plutôt d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Plutôt d'accord";"Plutôt d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Plutôt pas d'accord";"Plutôt d'accord";"Plutôt d'accord";"Plutôt d'accord";"Plutôt d'accord";"entre 50 et 90%";"Oui";"";"Diplôme du supérieur long (supérieur à bac + 2)";"Employé (bureau, commerces, services, santé...)";"";"1595000178";"Non";"N";"605.81";"";"";"4.63";"";"3.47";"3.23";"13.03";"8.64";"7.18";"";"10.57";"9.73";"20.77";"9.91";"6.57";"16.17";"13.26";"";"";"16.06";"15.1";"41.1";"18.05";"44.85";"7.96";"11.21";"";"";"";"74.38";"38.81";"13.09";"20.87";"26.52";"30.45";"20.7";"";"29.26";"37.66";"8.2";"5.68";"";"";"7.05";"6.95";"4.7";"";"";""
"486";"2020-07-17 17:40:23";"43";"fr";"101900755";"2020-07-17 17:26:34";"2020-07-17 17:40:23";"90.62.232.117";"https://s.cint.com/Survey/Fingerprint/d1228dcf-5f51-bbee-36ee-ba09b812d61d";"d1228dcf-5f51-bbee-36ee-ba09b812d61d";"";"1594999598";"Une femme";"Plus de 65 ans";"Moins de 20 000 euros";"70";"Moins de 2 000 habitants";"Plusieurs fois par an";"est principalement dû aux activités humaines";"Non";"Non";"Non";"Non";"Non";"Oui";"Importants";"Similaires dans les deux régions";"Non";"Non";"Oui";"Non";"Non";"Les principes de justice climatique devraient être déterminés au niveau international, même si cela peut empêcher les pays de défendre les intérêts de leurs populations";"3";"Les pays ont des responsabilités communes mais différenciées. Mais s'il fallait choisir l'un ou l'autre, je considèrerais qu'ils ont plutôt des responsabilités communes, c'est à dire que tous les pays, sans exception, devraient agir pour lutter contre le changement climatique.";"Plutôt pas d'accord";"Plutôt pas d'accord";"Plutôt d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Plutôt pas d'accord";"Non";"Oui";"Oui";"Non";"Non";"Plutôt pas d'accord";"Plutôt pas d'accord";"Plutôt pas d'accord";"Plutôt pas d'accord";"Les pays devraient être tenus responsables des émissions de carbone associées à tous les produits qu’ils consomment, y compris les émissions ayant lieu à l’étranger des produits qu’ils consomment";"Les pays devraient être tenus responsables de leurs émissions passées depuis 1990 (année à partir de laquelle il était scientifiquement établi que le changement climatique est réel et causé par les activités humaines)";"4";"1";"Faux";"Vrai";"Vrai";"Vrai";"Plutôt d'accord";"Plutôt pas d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Plutôt pas d'accord";"Plutôt d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Plutôt pas d'accord";"Plutôt pas d'accord";"Plutôt pas d'accord";"Plutôt pas d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"entre 1 et 10%";"Je ne sais pas";"";"Brevet des collèges";"Retraité";"questionnaire un peu ambigû";"1595000423";"Non";"N";"844.45";"";"";"4.92";"";"6.58";"7.58";"10.39";"16.41";"16.04";"";"10.68";"14.7";"19.53";"12.37";"12.2";"25.02";"89.74";"";"";"23.47";"24.54";"64.4";"17";"46.31";"20.98";"21.17";"";"";"";"79.48";"41.51";"33.21";"28.78";"17.21";"27.75";"18.85";"";"23.52";"26.57";"20.94";"10.44";"";"";"12.03";"5.84";"34.29";"";"";""
"487";"2020-07-17 17:42:14";"43";"fr";"1312431541";"2020-07-17 17:26:34";"2020-07-17 17:42:14";"90.63.26.111";"https://s.cint.com/Survey/Fingerprint/1b0a9468-9b81-a299-1e49-a3216a70ab94";"1b0a9468-9b81-a299-1e49-a3216a70ab94";"";"1594999597";"Un homme";"55-64 ans";"Moins de 20 000 euros";"28";"De 2 000 à 19 999 habitants";"Presque jamais";"est principalement dû à la variabilité climatique naturelle";"Non";"Oui";"Non";"Non";"Non";"Non";"Négligeables";"Similaires dans les deux régions";"Non";"Non";"Non";"Oui";"Non";"Les principes de justice climatique ne devraient jamais passer avant les intérêts nationaux, même si cela peut entraver l’action contre le changement climatique";"3";"Ni l'un ni l'autre";"Pas du tout d'accord";"Pas du tout d'accord";"Plutôt d'accord";"Plutôt d'accord";"Pas du tout d'accord";"Pas du tout d'accord";"Non";"Oui";"Oui";"Non";"Non";"Pas du tout d'accord";"Pas du tout d'accord";"Pas du tout d'accord";"Pas du tout d'accord";"Les pays devraient être tenus responsables des émissions de carbone associées à tous les produits qu’ils consomment, y compris les émissions ayant lieu à l’étranger des produits qu’ils consomment";"Les pays doivent être tenus responsables de leurs émissions passées depuis 1850 (année à partir de laquelle les sociétés ont commencé à émettre de grandes quantités de carbone dans l’atmosphère)";"4";"2";"Vrai";"Vrai";"Faux";"Vrai";"Plutôt d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Plutôt d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Plutôt pas d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Plutôt d'accord";"Pas du tout d'accord";"Pas du tout d'accord";"Tout à fait d'accord";"Tout à fait d'accord";"Plutôt pas d'accord";"Tout à fait d'accord";"Plutôt pas d'accord";"Plutôt d'accord";"moins de 1%";"Non";"mais le sondage est trop diriger vers les réponses qu'ils veulent entendre
sur certaine questions il y aurait du avoir d'autres reponses  possibles
on coches pas nitres opinions";"Diplôme du supérieur long (supérieur à bac + 2)";"Retraité";"sondage beaucoup trop diriger par ce qu ils veulent entendre";"1595000534";"Non";"N";"957.89";"";"";"2.62";"";"6.32";"5.12";"8.21";"8.61";"5.94";"";"11.74";"13.94";"17.88";"11.13";"18.88";"20.47";"28.85";"";"";"17.75";"41.82";"68.24";"37.48";"52.31";"24.8";"35.14";"";"";"";"132.77";"5.39";"6.04";"7.18";"5.74";"6.25";"9.77";"";"22.58";"11.45";"31.48";"25.44";"153.67";"";"16.78";"8.63";"77.47";"";"";""
"488";"2020-07-17 17:34:39";"43";"fr";"400910504";"2020-07-17 17:26:43";"2020-07-17 17:34:39";"90.48.201.91";"https://s.cint.com/Survey/Fingerprint/f2d6e70f-8a2d-d528-c22e-d0fdd9433ddd";"f2d6e70f-8a2d-d528-c22e-d0fdd9433ddd";"";"1594999606";"Un homme";"45-54 ans";"De 20 001 à 35 000 euros";"11";"Moins de 2 000 habitants";"Presque jamais";"est principalement dû à la variabilité climatique naturelle";"Non";"Non";"Non";"Oui";"Non";"Oui";"Importants";"Similaires dans les deux régions";"Non";"Non";"Oui";"Non";"Non";"Les principes de justice climatique devraient être déterminés au niveau international, même si cela peut empêcher les pays de défendre les intérêts de leurs populations";"4";"Les pays ont des responsabilités communes mais différenciées. Mais s'il fallait choisir l'un ou l'autre, je considèrerais qu'ils ont plutôt des responsabilités communes, c'est à dire que tous les pays, sans exception, devraient agir pour lutter contre le changement climatique.";"Pas du tout d'accord";"Tout à fait d'accord";"Tout à fait d'accord";"Tout à fait d'accord";"Tout à fait d'accord";"Tout à fait d'accord";"Non";"Non";"Oui";"Oui";"Non";"Plutôt d'accord";"Plutôt d'accord";"Plutôt d'accord";"Plutôt d'accord";"Les pays devraient être tenus responsables des émissions de carbone associées à tous les produits qu’ils consomment, y compris les émissions ayant lieu à l’étranger des produits qu’ils consomment";"Les pays devraient être tenus responsables uniquement de leurs émissions actuelles";"3";"2";"Vrai";"Vrai";"Vrai";"Vrai";"Tout à fait d'accord";"Tout à fait d'accord";"Tout à fait d'accord";"Tout à fait d'accord";"Tout à fait d'accord";"Tout à fait d'accord";"Tout à fait d'accord";"Tout à fait d'accord";"Tout à fait d'accord";"Tout à fait d'accord";"Tout à fait d'accord";"Tout à fait d'accord";"Pas du tout d'accord";"Pas du tout d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Tout à fait d'accord";"Plutôt pas d'accord";"entre 11 et 49%";"Non";"Production industrielle";"Brevet des collèges";"Chef d'entreprise (10 employés ou plus)";"";"1595000079";"Non";"N";"492.12";"";"";"3.52";"";"4.25";"4.72";"7.24";"8.58";"4.13";"";"7.4";"7.23";"10.31";"19.33";"8.44";"5.78";"4.98";"";"";"11.91";"15.05";"22.93";"37.2";"25.47";"8.38";"4.28";"";"";"";"80.79";"13.91";"7.04";"8.08";"7.67";"5.23";"32.11";"";"22.09";"9.65";"24.8";"12.84";"28.42";"";"7.98";"6.79";"3.59";"";"";""
"489";"2020-07-17 18:18:55";"43";"fr";"349820092";"2020-07-17 17:31:10";"2020-07-17 18:18:55";"90.76.114.147";"https://s.cint.com/Survey/Fingerprint/be498fd3-1567-b58b-5df2-b8625c41a201?sq=1";"be498fd3-1567-b58b-5df2-b8625c41a201";"";"1594999876";"Une femme";"Plus de 65 ans";"Moins de 20 000 euros";"31";"De 2 000 à 19 999 habitants";"Plusieurs fois par semaine";"est principalement dû aux activités humaines";"Oui";"Non";"Non";"Non";"Oui";"Non";"Importants";"Similaires dans les deux régions";"Non";"Oui";"Non";"Non";"Non";"Les principes de justice climatique devraient être déterminés au niveau international, même si cela peut empêcher les pays de défendre les intérêts de leurs populations";"4";"Les pays ont des responsabilités communes mais différenciées. Mais s'il fallait choisir l'un ou l'autre, je considèrerais qu'ils ont plutôt des responsabilités communes, c'est à dire que tous les pays, sans exception, devraient agir pour lutter contre le changement climatique.";"Pas du tout d'accord";"Plutôt pas d'accord";"Plutôt d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Plutôt pas d'accord";"Oui";"Oui";"Non";"Non";"Non";"Plutôt pas d'accord";"Plutôt pas d'accord";"Plutôt pas d'accord";"Plutôt pas d'accord";"Les pays devraient être tenus responsables uniquement des émissions de carbone ayant lieu sur leur territoire";"Les pays devraient être tenus responsables de leurs émissions passées depuis 1990 (année à partir de laquelle il était scientifiquement établi que le changement climatique est réel et causé par les activités humaines)";"3";"1";"Faux";"Vrai";"Vrai";"Vrai";"Plutôt d'accord";"Tout à fait d'accord";"Plutôt d'accord";"Tout à fait d'accord";"Plutôt pas d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Plutôt d'accord";"Tout à fait d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Tout à fait d'accord";"Pas du tout d'accord";"Tout à fait d'accord";"Tout à fait d'accord";"Plutôt d'accord";"Tout à fait d'accord";"Plutôt d'accord";"entre 11 et 49%";"Non";"plus de précisions ";"Brevet des collèges";"Retraité";" TOUS les pays  doivent faire des efforts ";"1595002735";"Non";"N";"2879.74";"";"";"6.83";"";"6.9";"12.26";"12.32";"16.3";"8.18";"";"9.42";"10.83";"273.31";"10.03";"16.43";"48.76";"34.06";"";"";"14.26";"19.52";"464.36";"110.33";"87.04";"41.6";"27.22";"";"";"";"448.93";"49.8";"33.73";"62.97";"115.26";"44.88";"61.39";"";"127.53";"52.04";"427.39";"9.75";"141.59";"";"6.32";"7.01";"61.19";"";"";""
"490";"2020-07-17 17:43:00";"43";"fr";"381511080";"2020-07-17 17:31:51";"2020-07-17 17:43:00";"90.119.214.57";"https://s.cint.com/Survey/Fingerprint/7e1eaab2-6317-9f33-0a93-9d35f3d1eb60";"7e1eaab2-6317-9f33-0a93-9d35f3d1eb60";"";"1594999925";"Une femme";"Plus de 65 ans";"De 35 001 à 50 000 euros";"69";"Moins de 2 000 habitants";"Plusieurs fois par an";"est principalement dû à la variabilité climatique naturelle";"Non";"Non";"Non";"Non";"Non";"Oui";"Importants";"Similaires dans les deux régions";"Non";"Non";"Non";"Oui";"Non";"Les principes de justice climatique ne devraient jamais passer avant les intérêts nationaux, même si cela peut entraver l’action contre le changement climatique";"3";"Les pays ont des responsabilités communes mais différenciées. Mais s'il fallait choisir l'un ou l'autre, je considèrerais qu'ils ont plutôt des responsabilités communes, c'est à dire que tous les pays, sans exception, devraient agir pour lutter contre le changement climatique.";"Pas du tout d'accord";"Plutôt pas d'accord";"Plutôt d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Plutôt pas d'accord";"Non";"Oui";"Oui";"Non";"Non";"Plutôt pas d'accord";"Plutôt pas d'accord";"Plutôt pas d'accord";"Plutôt pas d'accord";"Les pays devraient être tenus responsables des émissions de carbone associées à tous les produits qu’ils consomment, y compris les émissions ayant lieu à l’étranger des produits qu’ils consomment";"Les pays devraient être tenus responsables uniquement de leurs émissions actuelles";"4";"2";"Faux";"Vrai";"Faux";"Vrai";"Plutôt pas d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Plutôt d'accord";"Plutôt d'accord";"Plutôt d'accord";"Plutôt d'accord";"Plutôt d'accord";"Pas du tout d'accord";"Plutôt d'accord";"Plutôt d'accord";"Plutôt d'accord";"Plutôt d'accord";"Plutôt d'accord";"entre 1 et 10%";"Je ne sais pas";"";"Baccalauréat, brevet professionnel ou équivalent";"Retraité";"";"1595000580";"Non";"N";"684.36";"";"";"14.53";"";"5.58";"5.19";"6.43";"8.52";"9.54";"";"12.28";"8.68";"25.18";"13.66";"8.77";"15.62";"30.98";"";"";"19.58";"8.81";"37.05";"41.77";"23.7";"14.22";"13.82";"";"";"";"122.98";"13.2";"16.25";"18.99";"14.04";"47.65";"16.47";"";"42.83";"16.4";"14.09";"7.66";"";"";"7.42";"16.77";"5.7";"";"";""
"492";"2020-07-17 17:50:03";"43";"fr";"1464763508";"2020-07-17 17:33:22";"2020-07-17 17:50:03";"83.204.78.91";"https://s.cint.com/Survey/Fingerprint/62f0bbf2-afa1-8ad1-e4d3-8cdb0d681b20?sq=1";"62f0bbf2-afa1-8ad1-e4d3-8cdb0d681b20";"";"1595000006";"Un homme";"Plus de 65 ans";"De 20 001 à 35 000 euros";"85";"De 2 000 à 19 999 habitants";"Plusieurs fois par mois";"est principalement dû aux activités humaines";"Oui";"Oui";"Non";"Non";"Non";"Non";"Désastreux";"Similaires dans les deux régions";"Non";"Oui";"Oui";"Oui";"Non";"Les principes de justice climatique devraient être déterminés au niveau international, même si cela peut empêcher les pays de défendre les intérêts de leurs populations";"4";"Les pays ont des responsabilités communes mais différenciées. Mais s'il fallait choisir l'un ou l'autre, je considèrerais qu'ils ont plutôt des responsabilités différenciées, c'est à dire que certains pays doivent faire nettement plus d'efforts que d'autres pour lutter contre le changement climatique.";"Plutôt pas d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Plutôt pas d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Oui";"Non";"Non";"Oui";"Non";"Plutôt pas d'accord";"Plutôt d'accord";"Plutôt d'accord";"Plutôt d'accord";"Les pays devraient être tenus responsables des émissions de carbone associées à tous les produits qu’ils consomment, y compris les émissions ayant lieu à l’étranger des produits qu’ils consomment";"Les pays devraient être tenus responsables de leurs émissions passées depuis 1990 (année à partir de laquelle il était scientifiquement établi que le changement climatique est réel et causé par les activités humaines)";"3";"2";"Faux";"Vrai";"Vrai";"Vrai";"Pas du tout d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Plutôt d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Plutôt d'accord";"Plutôt d'accord";"Pas du tout d'accord";"Plutôt d'accord";"Plutôt d'accord";"Pas du tout d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"entre 50 et 90%";"Non";"";"Diplôme du supérieur court (niveau bac + 2)";"Retraité";"";"1595001003";"Non";"N";"1015.92";"";"";"4.28";"";"3.73";"15.96";"7.2";"9.05";"6.24";"";"12.39";"9.64";"22.03";"9.78";"10.51";"24.89";"18.54";"";"";"33.41";"13.07";"59.4";"31.22";"37.71";"14.8";"25.81";"";"";"";"164.46";"23.64";"27.55";"11.48";"43.89";"71.35";"85.78";"";"82.24";"95.98";"8.98";"6.37";"3.59";"";"11.46";"5.39";"4.1";"";"";""
"493";"2020-07-17 17:53:28";"43";"fr";"814394661";"2020-07-17 17:36:30";"2020-07-17 17:53:28";"78.113.157.71";"https://s.cint.com/Survey/Fingerprint/e0e817b4-71fe-268b-fc95-20c393d4404a?sq=1";"e0e817b4-71fe-268b-fc95-20c393d4404a";"";"1595000196";"Un homme";"Plus de 65 ans";"De 20 001 à 35 000 euros";"49";"De 2 000 à 19 999 habitants";"Plusieurs fois par an";"est principalement dû à la variabilité climatique naturelle";"Non";"Oui";"Non";"Non";"Non";"Non";"Importants";"Les Etats-Unis";"Non";"Oui";"Non";"Non";"Non";"Les principes de justice climatique devraient être déterminés au niveau international, même si cela peut empêcher les pays de défendre les intérêts de leurs populations";"3";"Les pays ont des responsabilités communes mais différenciées. Mais s'il fallait choisir l'un ou l'autre, je considèrerais qu'ils ont plutôt des responsabilités communes, c'est à dire que tous les pays, sans exception, devraient agir pour lutter contre le changement climatique.";"Pas du tout d'accord";"Plutôt d'accord";"Plutôt d'accord";"Tout à fait d'accord";"Plutôt d'accord";"Pas du tout d'accord";"Non";"Oui";"Oui";"Non";"Non";"Plutôt pas d'accord";"Plutôt pas d'accord";"Plutôt d'accord";"Plutôt d'accord";"Les pays devraient être tenus responsables uniquement des émissions de carbone ayant lieu sur leur territoire";"Les pays devraient être tenus responsables uniquement de leurs émissions actuelles";"4";"2";"Faux";"Vrai";"Faux";"Vrai";"Plutôt pas d'accord";"Plutôt d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Plutôt pas d'accord";"Plutôt d'accord";"Tout à fait d'accord";"Plutôt pas d'accord";"Pas du tout d'accord";"Pas du tout d'accord";"Plutôt d'accord";"Pas du tout d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"entre 50 et 90%";"Je ne sais pas";"";"CAP, BEP ou équivalent";"Retraité";"pas de commentaire";"1595001208";"Non";"N";"1034.97";"";"";"6.68";"";"5.64";"5.56";"11.3";"12.58";"8.26";"";"11.37";"16.13";"31.6";"13.86";"15.42";"24.81";"29.82";"";"";"41.98";"14.8";"89.12";"43.72";"54.62";"20.91";"24.52";"";"";"";"169.89";"45.07";"43.11";"30.61";"35.43";"35.43";"36.49";"";"45.61";"36.33";"20.59";"10.19";"";"";"7.35";"7.4";"28.77";"";"";""
