"id";"submitdate";"lastpage";"startlanguage";"seed";"startdate";"datestamp";"ipaddr";"refurl";"ID";"Messageintro";"TimeB";"Gender";"Age";"Income";"State";"Agglo";"Freqtalk";"CauseCC";"GazCC[SQ001]";"GazCC[SQ002]";"GazCC[SQ003]";"GazCC[SQ004]";"GazCC[SQ006]";"GazCC[SQ005]";"EffectsCC";"RegionCC";"GenerationCC[SQ001]";"GenerationCC[SQ002]";"GenerationCC[SQ003]";"GenerationCC[SQ004]";"GenerationCC[SQ005]";"VisioncoopCC";"Orderpcp";"CBDR";"Gdfr";"Principles[SQ001]";"Principles[SQ002]";"Principles[SQ003]";"Principles[SQ004]";"Principles[SQ005]";"RkPrinciple[SQ001]";"RkPrinciple[SQ002]";"RkPrinciple[SQ003]";"RkPrinciple[SQ004]";"RkPrinciple[SQ005]";"Statements[SQ001]";"Statements[SQ002]";"Statements[SQ003]";"Statements[SQ004]";"Accountability";"History";"Ordrecas";"Randomnumber";"Test[SQ001]";"Test[SQ002]";"Test[SQ003]";"Test[SQ004]";"Case1[SQ001]";"Case1[SQ002]";"Case2[SQ001]";"Case2[SQ002]";"Case3[SQ001]";"Case3[SQ002]";"Case4[SQ001]";"Case4[SQ002]";"Case5[SQ001]";"Case5[SQ002]";"Case6[SQ001]";"Case6[SQ002]";"Coordination[SQ001]";"Coordination[SQ002]";"Coordination[SQ003]";"Coordination[SQ004]";"Reward[SQ001]";"Reward[SQ002]";"Chances";"Chances[other]";"Info";"Infono";"Educ";"CSP";"Comments";"TimeE";"Speedster";"Surveytime";"interviewtime";"groupTime7";"IDTime";"MessageintroTime";"TimeBTime";"GenderTime";"AgeTime";"IncomeTime";"StateTime";"AggloTime";"groupTime3";"FreqtalkTime";"CauseCCTime";"GazCCTime";"EffectsCCTime";"RegionCCTime";"GenerationCCTime";"VisioncoopCCTime";"groupTime4";"OrderpcpTime";"CBDRTime";"GdfrTime";"PrinciplesTime";"RkPrincipleTime";"StatementsTime";"AccountabilityTime";"HistoryTime";"groupTime5";"OrdrecasTime";"RandomnumberTime";"TestTime";"Case1Time";"Case2Time";"Case3Time";"Case4Time";"Case5Time";"Case6Time";"groupTime6";"CoordinationTime";"RewardTime";"ChancesTime";"InfoTime";"InfonoTime";"groupTime11";"EducTime";"CSPTime";"CommentsTime";"TimeETime";"SpeedsterTime";"SurveytimeTime"
"464";"2020-07-18 01:03:25";"43";"en";"1345880304";"2020-07-18 00:52:52";"2020-07-18 01:03:25";"99.71.135.185";"https://s.cint.com/Survey/Fingerprint/4815ba97-1588-275e-ffb5-8d3e1915a06c?sq=1";"4815ba97-1588-275e-ffb5-8d3e1915a06c";"";"1595026376";"A man";"25-34";"More than $75,000";"California - CA";"In an urban area of a big city";"Several times a year";"is mainly due to human activity";"No";"No";"No";"No";"Yes";"No";"Disastrous";"Similar consequences in both regions";"No";"No";"No";"Yes";"No";"Principles of climate justice should never prevail over countries’ own national interests, even if it may impede the fight against climate change";"4";"Countries share common but differentiated responsibilities. However, if I had to choose, I would consider that countries mostly hold common responsibilities, which means that all countries, without exception, should act to limit climate change.";"I strongly disagree";"I rather agree";"I strongly agree";"I strongly agree";"I rather disagree";"I strongly disagree";"No";"Yes";"No";"Yes";"No";"I rather agree";"I rather disagree";"I rather agree";"I rather disagree";"Countries should be held accountable for the carbon emissions of all the products they consume, including the emissions of imported products that occur abroad";"Countries should be held accountable for their historical emissions since 1990, when it was scientifically established that climate change was real and caused by human activities";"3";"2";"True";"True";"True";"True";"I strongly agree";"I rather agree";"I strongly agree";"I rather disagree";"I strongly agree";"I rather agree";"I rather agree";"I rather agree";"I rather agree";"I strongly agree";"I strongly agree";"I rather agree";"I strongly agree";"I strongly agree";"I strongly agree";"I strongly agree";"I strongly agree";"I strongly agree";"11 to 49%";"";"Yes";"";"Bachelor degree or higher";"Employee (office, service, sales and clerical occupation)";"hope something is done soon";"1595027005";"No";"N";"651.44";"";"";"4.19";"";"132.31";"11.96";"11.42";"6.75";"5.97";"";"28.66";"10.7";"19.57";"12.43";"10.54";"19.13";"7.29";"";"";"18.81";"13.57";"48.27";"33.21";"34.89";"13.18";"4.31";"";"";"";"43.8";"11.84";"14.04";"22.92";"11.61";"18.95";"15.45";"";"11.27";"6.52";"10.84";"8.79";"";"";"5.49";"8.28";"14.48";"";"";""
"466";"2020-07-18 01:56:05";"43";"en";"148012467";"2020-07-18 01:26:20";"2020-07-18 01:56:05";"96.40.132.176";"https://s.cint.com/Survey/Fingerprint/bedd26b8-f437-c3c9-2f9a-11f627303a44";"bedd26b8-f437-c3c9-2f9a-11f627303a44";"";"1595028386";"A man";"25-34";"Less than $20,000";"California - CA";"In a suburban area on the outskirts of a big city, or in a medium-sized city";"Almost never";"is mainly due to human activity";"Yes";"Yes";"No";"No";"Yes";"No";"Significant";"Similar consequences in both regions";"No";"No";"No";"Yes";"No";"Principles of climate justice should be settled at the international level, even if that may prevent countries from pursuing the interest of their own people";"3";"Countries share common but differentiated responsibilities. However, if I had to choose, I would consider that countries mostly hold common responsibilities, which means that all countries, without exception, should act to limit climate change.";"I strongly disagree";"I rather disagree";"I rather agree";"I strongly agree";"I rather agree";"I rather disagree";"No";"Yes";"Yes";"No";"No";"I rather disagree";"I rather agree";"I rather disagree";"I rather disagree";"Countries should only be held accountable for the carbon emissions that occur on their territories";"Countries should only be held accountable for their current emissions";"4";"1";"False";"True";"True";"True";"I rather disagree";"I strongly agree";"I rather agree";"I rather agree";"I rather disagree";"I strongly agree";"I rather disagree";"I rather agree";"I rather agree";"I rather agree";"I rather disagree";"I strongly agree";"I strongly disagree";"I strongly agree";"I strongly agree";"I strongly agree";"I strongly agree";"I strongly agree";"50 to 90%";"";"No";"Politics involved. ";"Bachelor degree or higher";"Other (not employed)";"";"1595030165";"No";"N";"1802.53";"";"";"6.75";"";"5.2";"5.38";"4.99";"4.45";"5.1";"";"5.43";"12.63";"24.51";"10.2";"112.4";"14.42";"36.91";"";"";"20.67";"16.32";"130.93";"46.71";"148.89";"133.92";"23.44";"";"";"";"160.12";"41.36";"139.17";"54.17";"113.72";"115.8";"106.65";"";"109.73";"93.2";"27.59";"9.05";"32.71";"";"5.73";"14.91";"9.37";"";"";""
"467";"2020-07-18 01:40:16";"43";"en";"1063119199";"2020-07-18 01:33:09";"2020-07-18 01:40:16";"76.98.252.242";"https://s.cint.com/Survey/Fingerprint/7af87573-2153-4a60-ec52-42d3056f918f";"7af87573-2153-4a60-ec52-42d3056f918f";"";"1595028809";"A man";"25-34";"More than $75,000";"Pennsylvania - PA";"In an urban area of a big city";"Several times a week";"is not a reality";"Yes";"Yes";"Yes";"No";"Yes";"No";"Significant";"The European Union";"No";"No";"Yes";"No";"No";"Principles of climate justice should never prevail over countries’ own national interests, even if it may impede the fight against climate change";"4";"Countries share common but differentiated responsibilities. However, if I had to choose, I would consider that countries mostly hold common responsibilities, which means that all countries, without exception, should act to limit climate change.";"I strongly agree";"I strongly agree";"I strongly agree";"I rather agree";"I strongly agree";"I rather agree";"Yes";"No";"No";"Yes";"No";"I rather agree";"I rather agree";"I strongly agree";"I strongly agree";"Countries should be held accountable for the carbon emissions of all the products they consume, including the emissions of imported products that occur abroad";"Countries should be held accountable for their historical emissions since 1990, when it was scientifically established that climate change was real and caused by human activities";"3";"2";"False";"True";"True";"True";"I strongly agree";"I rather agree";"I strongly agree";"I rather agree";"I strongly agree";"I rather agree";"I strongly agree";"I rather agree";"I strongly agree";"I rather agree";"I strongly agree";"I rather agree";"I partially agree";"I strongly agree";"I partially agree";"I strongly agree";"I strongly agree";"I partially agree";"90 to 99%";"";"Yes";"";"Associate degree or higher";"Higher grade professional, administrative and managerial occupation (engineer, doctor, consultant, lawyer etc)";"good";"1595029216";"No";"N";"442.84";"";"";"20.03";"";"30.12";"17.01";"18.56";"9.11";"3.47";"";"30.17";"3.41";"6.12";"8.22";"5.25";"8.25";"3.6";"";"";"9.28";"15.83";"6.58";"21.36";"21.45";"18.74";"5.9";"";"";"";"6.33";"5.76";"9.5";"4.86";"17.16";"9.15";"11.74";"";"14.41";"11.8";"9.58";"6.62";"";"";"25.56";"28.12";"19.79";"";"";""
"470";"2020-07-18 03:15:19";"43";"en";"104150592";"2020-07-18 02:53:05";"2020-07-18 03:15:19";"71.232.68.124";"https://s.cint.com/Survey/Fingerprint/ca4935f7-8ee6-1829-5cd6-0262aaa8380d";"ca4935f7-8ee6-1829-5cd6-0262aaa8380d";"";"1595033593";"A woman";"65+";"More than $75,000";"Connecticut - CT";"In a suburban area on the outskirts of a big city, or in a medium-sized city";"Almost never";"is mainly due to human activity";"Yes";"No";"No";"No";"No";"No";"Significant";"Similar consequences in both regions";"Yes";"Yes";"Yes";"Yes";"No";"Principles of climate justice should be settled at the international level, even if that may prevent countries from pursuing the interest of their own people";"4";"Countries share common but differentiated responsibilities. However, if I had to choose, I would consider that countries mostly hold common responsibilities, which means that all countries, without exception, should act to limit climate change.";"I strongly disagree";"I rather agree";"I rather agree";"I rather disagree";"I rather disagree";"I rather agree";"Yes";"No";"No";"No";"Yes";"I rather agree";"I rather disagree";"I rather disagree";"I rather agree";"Countries should be held accountable for the carbon emissions of all the products they consume, including the emissions of imported products that occur abroad";"Countries should be held for their historical emissions since 1850, when humans started emitting large quantities of carbon in the atmosphere";"3";"2";"False";"True";"False";"True";"I strongly agree";"I rather disagree";"I rather agree";"I rather agree";"I rather agree";"I rather agree";"I rather disagree";"I rather agree";"I rather agree";"I rather agree";"I rather disagree";"I strongly agree";"I strongly disagree";"I partially agree";"I partially disagree";"I partially disagree";"I partially disagree";"I partially disagree";"11 to 49%";"";"I do not know";"";"Master degree or higher";"Retired";"";"1595034919";"No";"N";"1351.02";"";"";"8.14";"";"18.52";"8.78";"4.64";"18.72";"12.54";"";"22.06";"14.79";"13.06";"15.89";"30.43";"65.85";"21.92";"";"";"99.01";"21.9";"67.37";"54.15";"192.83";"18.96";"37.98";"";"";"";"185.27";"59.92";"14.93";"22.13";"27.6";"27.26";"99.17";"";"63.94";"65.2";"10.84";"9.06";"";"";"7.21";"7.4";"3.55";"";"";""
"471";"2020-07-18 03:21:27";"43";"en";"432498305";"2020-07-18 03:09:26";"2020-07-18 03:21:27";"50.39.174.201";"https://s.cint.com/Survey/Fingerprint/ae50aaa7-ac31-9764-4486-9d7be1cf2474";"ae50aaa7-ac31-9764-4486-9d7be1cf2474";"";"1595034576";"A woman";"25-34";"More than $75,000";"Oregon - OR";"In a suburban area on the outskirts of a big city, or in a medium-sized city";"Several times a month";"is mainly due to human activity";"Yes";"No";"No";"No";"No";"No";"Insignificant";"The USA";"No";"No";"No";"No";"Yes";"Principles of climate justice should be settled at the international level, even if that may prevent countries from pursuing the interest of their own people";"4";"Countries share common but differentiated responsibilities. However, if I had to choose, I would consider that countries mostly hold common responsibilities, which means that all countries, without exception, should act to limit climate change.";"I rather disagree";"I rather agree";"I rather agree";"I strongly agree";"I rather agree";"I rather agree";"No";"Yes";"Yes";"No";"No";"I rather agree";"I strongly agree";"I rather agree";"I strongly agree";"Countries should be held accountable for the carbon emissions of all the products they consume, including the emissions of imported products that occur abroad";"Countries should be held for their historical emissions since 1850, when humans started emitting large quantities of carbon in the atmosphere";"3";"2";"True";"True";"True";"True";"I rather agree";"I rather agree";"I rather agree";"I rather agree";"I rather agree";"I rather disagree";"I rather disagree";"I rather agree";"I rather agree";"I strongly agree";"I rather disagree";"I rather agree";"I partially disagree";"I partially disagree";"I partially agree";"I partially agree";"I partially agree";"I partially agree";"1 to 10%";"";"No";"I don't know";"High school completion or higher";"Other (not employed)";"";"1595035287";"No";"N";"737.74";"";"";"10.03";"";"11.06";"7.01";"8.65";"7.8";"6.48";"";"8.59";"10.79";"10.55";"13.5";"7.67";"11.13";"15.59";"";"";"21.16";"11.42";"28.9";"12.75";"14.2";"6.71";"5.31";"";"";"";"71.79";"28.06";"93.76";"18.75";"70.94";"26.07";"26.84";"";"64.3";"47.97";"9.71";"6.28";"10.24";"";"7.89";"21.24";"4.6";"";"";""
"472";"2020-07-18 03:33:39";"43";"en";"1293128106";"2020-07-18 03:15:50";"2020-07-18 03:33:39";"174.80.101.29";"https://s.cint.com/Survey/Fingerprint/52f73c27-ef6c-008e-e306-0bdcf71ddfda";"52f73c27-ef6c-008e-e306-0bdcf71ddfda";"";"1595034954";"A woman";"25-34";"$20,000 to $39,999";"Alabama - AL";"In a suburban area on the outskirts of a big city, or in a medium-sized city";"Almost never";"is not a reality";"No";"No";"Yes";"No";"No";"No";"Small";"Similar consequences in both regions";"No";"No";"No";"No";"Yes";"Principles of climate justice should never prevail over countries’ own national interests, even if it may impede the fight against climate change";"3";"None of the above";"I strongly disagree";"I rather disagree";"I rather disagree";"I strongly disagree";"I rather disagree";"I strongly disagree";"No";"Yes";"Yes";"No";"No";"I strongly disagree";"I strongly disagree";"I strongly disagree";"I strongly disagree";"Countries should be held accountable for the carbon emissions of all the products they consume, including the emissions of imported products that occur abroad";"Countries should be held for their historical emissions since 1850, when humans started emitting large quantities of carbon in the atmosphere";"4";"2";"True";"True";"False";"False";"I strongly disagree";"I strongly disagree";"I strongly disagree";"I strongly disagree";"I strongly disagree";"I strongly disagree";"I strongly disagree";"I strongly disagree";"I strongly disagree";"I strongly disagree";"I strongly disagree";"I strongly disagree";"I strongly disagree";"I strongly disagree";"I strongly disagree";"I strongly disagree";"I strongly disagree";"I strongly disagree";"less than 1%";"";"Yes";"";"High school completion or higher";"Worker";"No i don't have anymore comments. ";"1595036019";"No";"N";"1082.15";"";"";"4.43";"";"5.19";"7.16";"7.33";"8.99";"5.23";"";"779.97";"5.38";"15.41";"10.65";"8.51";"35.83";"4.99";"";"";"5.98";"7.78";"15.73";"5.77";"6.29";"5.46";"8.42";"";"";"";"11.55";"4.55";"10.81";"24.14";"6.22";"3.83";"4.01";"";"7.45";"4.43";"8.26";"10.6";"";"";"7.15";"9.4";"15.25";"";"";""
"474";"2020-07-18 03:57:09";"43";"en";"1385598019";"2020-07-18 03:40:08";"2020-07-18 03:57:09";"66.24.83.89";"https://s.cint.com/Survey/Fingerprint/702e1587-0190-3825-3ba6-2205d87e347d";"702e1587-0190-3825-3ba6-2205d87e347d";"";"1595036413";"A man";"65+";"$20,000 to $39,999";"New York - NY";"In a rural area or a small town";"Several times a month";"is mainly due to human activity";"Yes";"Yes";"No";"No";"No";"Yes";"Disastrous";"The USA";"No";"Yes";"Yes";"Yes";"No";"Principles of climate justice should be settled at the international level, even if that may prevent countries from pursuing the interest of their own people";"3";"Countries share common but differentiated responsibilities. However, if I had to choose, I would consider that countries mostly hold common responsibilities, which means that all countries, without exception, should act to limit climate change.";"I strongly disagree";"I strongly disagree";"I rather agree";"I strongly agree";"I rather disagree";"I strongly agree";"No";"Yes";"Yes";"No";"No";"I rather disagree";"I strongly disagree";"I strongly disagree";"I strongly disagree";"Countries should be held accountable for the carbon emissions of all the products they consume, including the emissions of imported products that occur abroad";"Countries should be held accountable for their historical emissions since 1990, when it was scientifically established that climate change was real and caused by human activities";"4";"2";"False";"True";"False";"True";"I strongly disagree";"I rather agree";"I strongly disagree";"I rather agree";"I strongly disagree";"I rather agree";"I strongly disagree";"I strongly agree";"I strongly disagree";"I strongly disagree";"I rather disagree";"I rather agree";"I strongly disagree";"I partially disagree";"I partially agree";"I strongly disagree";"I partially agree";"I strongly disagree";"90 to 99%";"";"Yes";"";"High school completion or higher";"Lower grade professional, administrative and managerial occupation, intermediate or teaching occupation";"It showed some very interesting aspects of what's ahead of us. Some of it doesn't look good.";"1595037429";"No";"N";"1040.17";"";"";"5.14";"";"6.9";"7.67";"6.13";"9.46";"5.43";"";"15.39";"9.96";"23.25";"12.32";"20.36";"25.59";"26.61";"";"";"26.75";"26.59";"75.8";"40.94";"40.93";"17.67";"30.87";"";"";"";"110.85";"37.37";"60.47";"42.68";"28.71";"19.86";"33.15";"";"74.36";"50.72";"19.56";"9.69";"";"";"13.44";"36.26";"69.29";"";"";""
"477";"2020-07-18 04:53:00";"43";"en";"1798147484";"2020-07-18 04:32:47";"2020-07-18 04:53:00";"96.242.54.200";"https://s.cint.com/Survey/Fingerprint/fbb2307e-eaf1-0c19-a65f-079950815d84";"fbb2307e-eaf1-0c19-a65f-079950815d84";"";"1595039580";"A woman";"25-34";"$40,000 to $74,999";"New York - NY";"In an urban area of a big city";"Several times a month";"is mainly due to natural climate variability";"Yes";"Yes";"No";"No";"Yes";"Yes";"Significant";"The USA";"Yes";"Yes";"Yes";"Yes";"No";"Principles of climate justice should be settled at the international level, even if that may prevent countries from pursuing the interest of their own people";"3";"Countries share common but differentiated responsibilities. However, if I had to choose, I would consider that countries mostly hold differentiated responsibilities, which means that some should make more efforts than others to combat climate change.";"I rather agree";"I strongly disagree";"I strongly disagree";"I rather agree";"I strongly disagree";"I rather agree";"No";"No";"No";"Yes";"Yes";"I rather agree";"I rather disagree";"I rather agree";"I rather disagree";"Countries should be held accountable for the carbon emissions of all the products they consume, including the emissions of imported products that occur abroad";"Countries should only be held accountable for their current emissions";"4";"2";"True";"True";"False";"True";"I rather disagree";"I rather disagree";"I rather agree";"I rather agree";"I rather agree";"I strongly agree";"I rather agree";"I rather agree";"I rather agree";"I strongly agree";"I rather agree";"I strongly agree";"I strongly disagree";"I partially agree";"I strongly agree";"I partially agree";"I partially agree";"I strongly agree";"50 to 90%";"";"Yes";"";"Bachelor degree or higher";"Employee (office, service, sales and clerical occupation)";"";"1595040780";"No";"N";"1227.93";"";"";"13.17";"";"6.87";"8.65";"5.19";"18.12";"9.46";"";"13.99";"11.32";"55.03";"17.52";"13.78";"25.4";"63.4";"";"";"38.88";"50.81";"62.43";"45.86";"48.15";"44.67";"31.9";"";"";"";"221.03";"38.81";"21.3";"73.4";"19.26";"61.98";"18.07";"";"78.94";"24.41";"28.14";"12.16";"";"";"6.79";"25.15";"13.89";"";"";""
"479";"2020-07-18 05:40:38";"43";"en";"1867153807";"2020-07-18 04:54:29";"2020-07-18 05:40:38";"174.104.32.16";"https://s.cint.com/";"6e33a927-b894-9546-2706-9e1843ab8ced";"";"1595041049";"A woman";"25-34";"Less than $20,000";"Pennsylvania - PA";"In an urban area of a big city";"Several times a month";"is mainly due to natural climate variability";"Yes";"Yes";"No";"No";"No";"No";"Disastrous";"Similar consequences in both regions";"No";"No";"No";"Yes";"No";"Principles of climate justice should be settled at the international level, even if that may prevent countries from pursuing the interest of their own people";"4";"Countries share common but differentiated responsibilities. However, if I had to choose, I would consider that countries mostly hold differentiated responsibilities, which means that some should make more efforts than others to combat climate change.";"I rather disagree";"I rather disagree";"I strongly disagree";"I rather agree";"I rather disagree";"I strongly agree";"Yes";"No";"No";"No";"Yes";"I strongly disagree";"I rather disagree";"I strongly disagree";"I strongly disagree";"Countries should be held accountable for the carbon emissions of all the products they consume, including the emissions of imported products that occur abroad";"Countries should only be held accountable for their current emissions";"3";"2";"True";"True";"True";"True";"I rather disagree";"I strongly agree";"I rather agree";"I strongly agree";"I rather agree";"I rather agree";"I strongly agree";"I strongly agree";"I strongly agree";"I rather agree";"I rather agree";"I strongly agree";"I partially disagree";"I partially agree";"I strongly agree";"I strongly agree";"I strongly agree";"I strongly agree";"11 to 49%";"";"Yes";"";"High school completion or higher";"Other (not employed)";"changing to electric car, switching to reknewable energy";"1595043638";"No";"N";"2787.05";"";"";"180.7";"";"12.87";"57.2";"67.32";"55.58";"206.29";"";"202.93";"54.25";"106.68";"41.11";"89.37";"125.7";"65.47";"";"";"66.46";"72.88";"71.15";"301";"32.22";"27.69";"15.13";"";"";"";"34.53";"100.42";"35.69";"31.66";"40.9";"23.19";"81.22";"";"59.57";"215.74";"69.96";"34.89";"";"";"34.37";"130.39";"42.52";"";"";""
"480";"2020-07-18 05:09:39";"43";"en";"1817368938";"2020-07-18 05:02:54";"2020-07-18 05:09:39";"72.196.155.186";"https://s.cint.com/Survey/Fingerprint/0a87ce29-d190-f199-9308-f9acd8ec65e4?sq=1";"0a87ce29-d190-f199-9308-f9acd8ec65e4";"";"1595041382";"A woman";"25-34";"More than $75,000";"Ohio - OH";"In an urban area of a big city";"Several times a month";"is mainly due to natural climate variability";"No";"No";"Yes";"Yes";"No";"No";"Small";"Similar consequences in both regions";"No";"Yes";"Yes";"No";"No";"Principles of climate justice should never prevail over countries’ own national interests, even if it may impede the fight against climate change";"3";"Countries share common but differentiated responsibilities. However, if I had to choose, I would consider that countries mostly hold differentiated responsibilities, which means that some should make more efforts than others to combat climate change.";"I rather agree";"I rather disagree";"I rather agree";"I rather agree";"I rather agree";"I rather agree";"No";"Yes";"Yes";"No";"No";"I strongly agree";"I rather agree";"I strongly agree";"I strongly agree";"Countries should be held accountable for the carbon emissions of all the products they consume, including the emissions of imported products that occur abroad";"Countries should be held accountable for their historical emissions since 1990, when it was scientifically established that climate change was real and caused by human activities";"4";"2";"False";"False";"False";"True";"I rather agree";"I rather agree";"I rather agree";"I rather agree";"I rather agree";"I rather agree";"I strongly disagree";"I rather disagree";"I rather disagree";"I rather agree";"I rather agree";"I rather agree";"I partially agree";"I partially agree";"I partially agree";"I partially agree";"I partially agree";"I partially disagree";"50 to 90%";"";"I do not know";"";"High school completion or higher";"Other (not employed)";"";"1595041779";"No";"N";"419.18";"";"";"8.25";"";"2.14";"2.61";"3.15";"4.43";"34.73";"";"7.59";"3.17";"8.53";"3.04";"3.75";"8.07";"2.81";"";"";"3.18";"2.68";"8.98";"48.54";"4.61";"2.45";"2.05";"";"";"";"35.29";"3.61";"39.87";"4.84";"37.07";"3.98";"37.92";"";"6.89";"16.37";"5.48";"5.01";"";"";"48.46";"7.56";"2.07";"";"";""
"481";"2020-07-18 05:29:00";"43";"en";"1643519970";"2020-07-18 05:08:42";"2020-07-18 05:29:00";"70.122.88.140";"https://s.cint.com/Survey/Fingerprint/f32990ce-2280-ad9a-3def-a70215711635?sq=1";"f32990ce-2280-ad9a-3def-a70215711635";"";"1595041726";"A woman";"25-34";"$40,000 to $74,999";"Texas - TX";"In a suburban area on the outskirts of a big city, or in a medium-sized city";"Almost never";"is mainly due to natural climate variability";"No";"Yes";"No";"No";"Yes";"No";"Significant";"Similar consequences in both regions";"No";"No";"Yes";"No";"No";"Principles of climate justice should never prevail over countries’ own national interests, even if it may impede the fight against climate change";"3";"Countries share common but differentiated responsibilities. However, if I had to choose, I would consider that countries mostly hold differentiated responsibilities, which means that some should make more efforts than others to combat climate change.";"I rather agree";"I rather agree";"I rather disagree";"I rather disagree";"I strongly agree";"I rather agree";"No";"No";"No";"Yes";"Yes";"I rather agree";"I rather disagree";"I rather agree";"I strongly agree";"Countries should only be held accountable for the carbon emissions that occur on their territories";"Countries should be held accountable for their historical emissions since 1990, when it was scientifically established that climate change was real and caused by human activities";"4";"1";"True";"False";"True";"True";"I rather agree";"I rather disagree";"I rather agree";"I rather disagree";"I rather agree";"I rather agree";"I strongly agree";"I rather disagree";"I rather agree";"I rather agree";"I rather agree";"I rather agree";"I strongly disagree";"I partially agree";"I strongly agree";"I strongly agree";"I partially agree";"I strongly agree";"90 to 99%";"";"Yes";"";"Bachelor degree or higher";"Lower grade professional, administrative and managerial occupation, intermediate or teaching occupation";"";"1595042940";"No";"N";"1235.91";"";"";"4.26";"";"5.28";"7.1";"10.13";"14.49";"26.99";"";"12.48";"13.13";"26.74";"25.56";"17.42";"18.1";"36.56";"";"";"47.71";"32.61";"66.66";"33.32";"77.48";"65.96";"14.77";"";"";"";"179.81";"15.89";"25.42";"44.31";"24.59";"13.86";"34.78";"";"70.13";"45.73";"168.54";"9.85";"";"";"6.65";"34.95";"4.65";"";"";""
"482";"2020-07-18 06:03:28";"43";"en";"266202007";"2020-07-18 05:54:17";"2020-07-18 06:03:28";"47.187.208.175";"https://s.cint.com/Survey/Fingerprint/f70a37a9-9ede-d9e1-e18b-002127cc2a54?sq=1";"f70a37a9-9ede-d9e1-e18b-002127cc2a54";"";"1595044482";"A woman";"18-24";"$40,000 to $74,999";"Texas - TX";"In a suburban area on the outskirts of a big city, or in a medium-sized city";"Several times a week";"is mainly due to human activity";"Yes";"Yes";"Yes";"No";"Yes";"No";"Disastrous";"Similar consequences in both regions";"No";"Yes";"Yes";"Yes";"No";"Principles of climate justice should be settled at the international level, even if that may prevent countries from pursuing the interest of their own people";"4";"Countries share common but differentiated responsibilities. However, if I had to choose, I would consider that countries mostly hold differentiated responsibilities, which means that some should make more efforts than others to combat climate change.";"I strongly disagree";"I rather agree";"I rather agree";"I strongly agree";"I rather agree";"I strongly agree";"No";"No";"Yes";"No";"Yes";"I rather disagree";"I rather agree";"I rather disagree";"I strongly disagree";"Countries should be held accountable for the carbon emissions of all the products they consume, including the emissions of imported products that occur abroad";"Countries should be held for their historical emissions since 1850, when humans started emitting large quantities of carbon in the atmosphere";"3";"1";"False";"True";"False";"True";"I strongly disagree";"I rather disagree";"I strongly disagree";"I rather agree";"I rather disagree";"I rather disagree";"I rather disagree";"I rather disagree";"I rather disagree";"I rather disagree";"I rather agree";"I rather agree";"I strongly disagree";"I strongly disagree";"I strongly disagree";"I strongly disagree";"I partially agree";"I partially disagree";"11 to 49%";"";"Yes";"";"Associate degree or higher";"Student";"";"1595045008";"No";"N";"568.96";"";"";"25.01";"";"2.86";"3.4";"5.8";"23.42";"2.93";"";"13.38";"4.51";"9.82";"4.99";"4.04";"8.45";"5.31";"";"";"8.61";"35.13";"21.44";"43.73";"19.91";"4.72";"5.66";"";"";"";"33.61";"17.75";"83.91";"12.91";"15.1";"64.41";"26.71";"";"19.66";"17.49";"5.18";"4.19";"";"";"3.89";"4.37";"6.66";"";"";""
"483";"2020-07-18 08:19:29";"43";"en";"1531822464";"2020-07-18 08:05:13";"2020-07-18 08:19:29";"66.232.246.164";"https://s.cint.com/Survey/Fingerprint/e978fcca-84d9-c3db-6ceb-cb5358e00c19";"e978fcca-84d9-c3db-6ceb-cb5358e00c19";"";"1595052317";"A man";"25-34";"Less than $20,000";"Connecticut - CT";"In a rural area or a small town";"Several times a month";"is mainly due to human activity";"Yes";"Yes";"No";"No";"No";"Yes";"Disastrous";"Similar consequences in both regions";"No";"Yes";"Yes";"Yes";"No";"Principles of climate justice should be settled at the international level, even if that may prevent countries from pursuing the interest of their own people";"4";"Countries share common but differentiated responsibilities. However, if I had to choose, I would consider that countries mostly hold common responsibilities, which means that all countries, without exception, should act to limit climate change.";"I strongly disagree";"I rather disagree";"I rather disagree";"I strongly agree";"I rather agree";"I rather disagree";"No";"No";"Yes";"Yes";"No";"I rather disagree";"I rather agree";"I strongly disagree";"I strongly disagree";"Countries should be held accountable for the carbon emissions of all the products they consume, including the emissions of imported products that occur abroad";"Countries should only be held accountable for their current emissions";"3";"1";"False";"True";"False";"True";"I strongly disagree";"I strongly agree";"I strongly disagree";"I strongly agree";"I rather disagree";"I strongly agree";"I strongly disagree";"I strongly agree";"I strongly disagree";"I rather disagree";"I rather disagree";"I rather agree";"I strongly disagree";"I strongly disagree";"I partially agree";"I partially agree";"I partially agree";"I partially agree";"50 to 90%";"";"I do not know";"";"High school completion or higher";"Worker";"";"1595053169";"No";"N";"872.15";"";"";"3.61";"";"3.47";"3.02";"2.88";"4.43";"5.11";"";"5.81";"6.09";"12.21";"7.01";"8.85";"28.68";"9.26";"";"";"72.96";"62.19";"47.54";"38.9";"31.87";"27.9";"23.26";"";"";"";"87.4";"39.51";"18.66";"39.89";"21.55";"54.2";"51.61";"";"90.82";"28.05";"6.2";"5.22";"";"";"3.88";"13.63";"6.48";"";"";""
